	contribution	tag	corpus	id_elf	count
3235	3-35244	Revoir niches	Réduire les niches fiscales qui profitent aux plus riches, en effet l’impôt sur le revenu pèse essentiellement sur la classe moyenne.	FI8	3
3236	3-35244	Répartition dépenses, recettes	rendre plus accessible au citoyen la manière donc laquelle sont utilisé nos impôts.	FI7	1
3237	3-35247	Rétablir ISF	Rétablir l'ISF.	FI8	3
3238	3-35273	Baisser CSG	Baisser la CSG sur les retraites, à 6.6 %, indexer les retraites sur l’inflation, rétablir l’ISF te la Flat Taxe. Supprimer la taxe d’habitation pour tous.	FI8	3
3239	3-35273	Rétablir ISF	Baisser la CSG sur les retraites, à 6.6 %, indexer les retraites sur l’inflation, rétablir l’ISF te la Flat Taxe. Supprimer la taxe d’habitation pour tous.	FI8	3
3240	3-35273	Suppression TH	Baisser la CSG sur les retraites, à 6.6 %, indexer les retraites sur l’inflation, rétablir l’ISF te la Flat Taxe. Supprimer la taxe d’habitation pour tous.	FI8	3
3241	3-35273	Taux IR égal pour tous	Baisser la CSG sur les retraites, à 6.6 %, indexer les retraites sur l’inflation, rétablir l’ISF te la Flat Taxe. Supprimer la taxe d’habitation pour tous.	FI8	1
3242	3-35308	Baisser CSG	Baisser la CSG sur les retraites, à 6.6 %, indexer les retraites sur l’inflation, rétablir l’ISF te la Flat Taxe. Supprimer la taxe d’habitation pour tous.	FI8	3
3243	3-35308	Rétablir ISF	Baisser la CSG sur les retraites, à 6.6 %, indexer les retraites sur l’inflation, rétablir l’ISF te la Flat Taxe. Supprimer la taxe d’habitation pour tous.	FI8	3
3244	3-35308	Suppression TH	Baisser la CSG sur les retraites, à 6.6 %, indexer les retraites sur l’inflation, rétablir l’ISF te la Flat Taxe. Supprimer la taxe d’habitation pour tous.	FI8	3
3245	3-35308	Taux IR égal pour tous	Baisser la CSG sur les retraites, à 6.6 %, indexer les retraites sur l’inflation, rétablir l’ISF te la Flat Taxe. Supprimer la taxe d’habitation pour tous.	FI8	1
3246	3-3531	Harmonisation internationale	"-	Augmenter la progressivité de l’impôt sur le revenu pour que les quelques % les plus fortunés paient un peu plus ; baisser les tranches des plus faibles revenus, adoucir la progressivité dans les tranches moyennes,  mais 100% des foyers fiscaux devraient payer un IR (symbolique ? c’est justement l’objectif !) ; universaliser le paiement de l’impôt sur le revenu, quels que soient les revenus, quitte à ce que le montant soit de quelques euros (le coût de recouvrement peut être très limité par la numérisation des opérations et le PAS).  Cela apporterait : sentiment d’appartenance, clarification de la notion de gratuité, fierté de contribuer aux revenus de l’état et pas seulement aux charges. On a créé au fil des ans des taxes (TVA, CSG/CRDS, autres) qui s’appliquent à tous sans progressivité (ou faible-CSG) pour compléter ce que l’IR ne rapportait pas. C’est inégalitaire, pas redistributif et pauvre en sens auprès des citoyens.   -	Intégrer la CSG/CRDS à l’IR (universalité de l’IR, renforcement de la progressivité= justice fiscale)  -	Instaurer des contreparties, systématiques et vérifiables, à tous les avantages fiscaux et à toutes les diminutions des charges (par exemple, investissements en France, recrutement, R&D dans les nouvelles technologies, diminution de l’empreinte carbone, mécénat, etc). Et appliquer un  ‘’impôt sur la mauvaise foi’’ si les contreparties ne sont pas remplies ; -	Réformer la taxe foncière et d’habitation (la suppression de la TH n’est pas une bonne idée, elle tend à faire croire que cette taxe n’était pas nécessaire –elle est noyée dans le budget de l’état donc invisible-, alors qu’elle est un outil de gestion et de démocratie locale si elle est réformée) ; de plus, dans le budget de l’état, elle n’est pas, à ce jour, financée ;  -	Au niveau européen forcer l’harmonisation fiscale des impôts des entreprises (abandonner la règle de l’unanimité) et lutter contre les paradis fiscaux européens (Iles Anglo-Normandes, Luxembourg, Pays-Bas, Irlande, UK après Brexit, Andorre(même si pas pays européen), avant de s’occuper des paradis fiscaux ailleurs dans le monde (sans les oublier pour autant, mais commençons par balayer chez nous si nous voulons être crédibles);  -	Au niveau français, renforcer la lutte contre la fraude fiscale, supprimer le verrou de Bercy ; mesures à rendement moyen en terme de chiffre, mais politiquement signifiantes.  -	Instaurer en France des taxes sur les multinationales qui ne paient pas l’impôt qu’elles devraient sans attendre que les autres pays européens en fassent de même (abandonner la règle de l’unanimité) ; cesser d’avoir peur d’une perte de compétitivité/attractivité sur ce seul motif là.   -	Affecter réellement les taxes aux objectifs pour lesquels elles ont été créées et en confier le contrôle au parlement (voire au CESE réformé-avec une part de citoyens tirés au sort-, par ex) ;   -	Instaurer des cycles pluriannuels d’affectations spécifiques ciblées dans les répartitions du budget de l’état pour créer un ‘’effet de masse’’ (à budget global égal = d’autres secteurs sont au ‘’pain sec’’ et attendent leur tour) : par exemple, deux ou trois ans d’efforts sur la santé pour améliorer le fonctionnement de l’hôpital, le réformer, investir dans la recherche et l’équipement, etc ; deux ans dans la justice pour résorber sa misère, deux ans pour la police, deux ans pour l’armée, etc  -	Diminuer la quantité de niches fiscales ; ne maintenir que celles qui génèrent de l’activité économique réelle et/ou de l’investissement dans la transition énergétique. Veiller à ce que les plafonds (en proportion de l’IR dû) favorisent les tranches basses et moyennes."	FI8	4
3247	3-3531	Idée marquée	"-	Augmenter la progressivité de l’impôt sur le revenu pour que les quelques % les plus fortunés paient un peu plus ; baisser les tranches des plus faibles revenus, adoucir la progressivité dans les tranches moyennes,  mais 100% des foyers fiscaux devraient payer un IR (symbolique ? c’est justement l’objectif !) ; universaliser le paiement de l’impôt sur le revenu, quels que soient les revenus, quitte à ce que le montant soit de quelques euros (le coût de recouvrement peut être très limité par la numérisation des opérations et le PAS).  Cela apporterait : sentiment d’appartenance, clarification de la notion de gratuité, fierté de contribuer aux revenus de l’état et pas seulement aux charges. On a créé au fil des ans des taxes (TVA, CSG/CRDS, autres) qui s’appliquent à tous sans progressivité (ou faible-CSG) pour compléter ce que l’IR ne rapportait pas. C’est inégalitaire, pas redistributif et pauvre en sens auprès des citoyens.   -	Intégrer la CSG/CRDS à l’IR (universalité de l’IR, renforcement de la progressivité= justice fiscale)  -	Instaurer des contreparties, systématiques et vérifiables, à tous les avantages fiscaux et à toutes les diminutions des charges (par exemple, investissements en France, recrutement, R&D dans les nouvelles technologies, diminution de l’empreinte carbone, mécénat, etc). Et appliquer un  ‘’impôt sur la mauvaise foi’’ si les contreparties ne sont pas remplies ; -	Réformer la taxe foncière et d’habitation (la suppression de la TH n’est pas une bonne idée, elle tend à faire croire que cette taxe n’était pas nécessaire –elle est noyée dans le budget de l’état donc invisible-, alors qu’elle est un outil de gestion et de démocratie locale si elle est réformée) ; de plus, dans le budget de l’état, elle n’est pas, à ce jour, financée ;  -	Au niveau européen forcer l’harmonisation fiscale des impôts des entreprises (abandonner la règle de l’unanimité) et lutter contre les paradis fiscaux européens (Iles Anglo-Normandes, Luxembourg, Pays-Bas, Irlande, UK après Brexit, Andorre(même si pas pays européen), avant de s’occuper des paradis fiscaux ailleurs dans le monde (sans les oublier pour autant, mais commençons par balayer chez nous si nous voulons être crédibles);  -	Au niveau français, renforcer la lutte contre la fraude fiscale, supprimer le verrou de Bercy ; mesures à rendement moyen en terme de chiffre, mais politiquement signifiantes.  -	Instaurer en France des taxes sur les multinationales qui ne paient pas l’impôt qu’elles devraient sans attendre que les autres pays européens en fassent de même (abandonner la règle de l’unanimité) ; cesser d’avoir peur d’une perte de compétitivité/attractivité sur ce seul motif là.   -	Affecter réellement les taxes aux objectifs pour lesquels elles ont été créées et en confier le contrôle au parlement (voire au CESE réformé-avec une part de citoyens tirés au sort-, par ex) ;   -	Instaurer des cycles pluriannuels d’affectations spécifiques ciblées dans les répartitions du budget de l’état pour créer un ‘’effet de masse’’ (à budget global égal = d’autres secteurs sont au ‘’pain sec’’ et attendent leur tour) : par exemple, deux ou trois ans d’efforts sur la santé pour améliorer le fonctionnement de l’hôpital, le réformer, investir dans la recherche et l’équipement, etc ; deux ans dans la justice pour résorber sa misère, deux ans pour la police, deux ans pour l’armée, etc  -	Diminuer la quantité de niches fiscales ; ne maintenir que celles qui génèrent de l’activité économique réelle et/ou de l’investissement dans la transition énergétique. Veiller à ce que les plafonds (en proportion de l’IR dû) favorisent les tranches basses et moyennes."	FI8	1
3248	3-3531	Impôt symbolique pour tous	"-	Augmenter la progressivité de l’impôt sur le revenu pour que les quelques % les plus fortunés paient un peu plus ; baisser les tranches des plus faibles revenus, adoucir la progressivité dans les tranches moyennes,  mais 100% des foyers fiscaux devraient payer un IR (symbolique ? c’est justement l’objectif !) ; universaliser le paiement de l’impôt sur le revenu, quels que soient les revenus, quitte à ce que le montant soit de quelques euros (le coût de recouvrement peut être très limité par la numérisation des opérations et le PAS).  Cela apporterait : sentiment d’appartenance, clarification de la notion de gratuité, fierté de contribuer aux revenus de l’état et pas seulement aux charges. On a créé au fil des ans des taxes (TVA, CSG/CRDS, autres) qui s’appliquent à tous sans progressivité (ou faible-CSG) pour compléter ce que l’IR ne rapportait pas. C’est inégalitaire, pas redistributif et pauvre en sens auprès des citoyens.   -	Intégrer la CSG/CRDS à l’IR (universalité de l’IR, renforcement de la progressivité= justice fiscale)  -	Instaurer des contreparties, systématiques et vérifiables, à tous les avantages fiscaux et à toutes les diminutions des charges (par exemple, investissements en France, recrutement, R&D dans les nouvelles technologies, diminution de l’empreinte carbone, mécénat, etc). Et appliquer un  ‘’impôt sur la mauvaise foi’’ si les contreparties ne sont pas remplies ; -	Réformer la taxe foncière et d’habitation (la suppression de la TH n’est pas une bonne idée, elle tend à faire croire que cette taxe n’était pas nécessaire –elle est noyée dans le budget de l’état donc invisible-, alors qu’elle est un outil de gestion et de démocratie locale si elle est réformée) ; de plus, dans le budget de l’état, elle n’est pas, à ce jour, financée ;  -	Au niveau européen forcer l’harmonisation fiscale des impôts des entreprises (abandonner la règle de l’unanimité) et lutter contre les paradis fiscaux européens (Iles Anglo-Normandes, Luxembourg, Pays-Bas, Irlande, UK après Brexit, Andorre(même si pas pays européen), avant de s’occuper des paradis fiscaux ailleurs dans le monde (sans les oublier pour autant, mais commençons par balayer chez nous si nous voulons être crédibles);  -	Au niveau français, renforcer la lutte contre la fraude fiscale, supprimer le verrou de Bercy ; mesures à rendement moyen en terme de chiffre, mais politiquement signifiantes.  -	Instaurer en France des taxes sur les multinationales qui ne paient pas l’impôt qu’elles devraient sans attendre que les autres pays européens en fassent de même (abandonner la règle de l’unanimité) ; cesser d’avoir peur d’une perte de compétitivité/attractivité sur ce seul motif là.   -	Affecter réellement les taxes aux objectifs pour lesquels elles ont été créées et en confier le contrôle au parlement (voire au CESE réformé-avec une part de citoyens tirés au sort-, par ex) ;   -	Instaurer des cycles pluriannuels d’affectations spécifiques ciblées dans les répartitions du budget de l’état pour créer un ‘’effet de masse’’ (à budget global égal = d’autres secteurs sont au ‘’pain sec’’ et attendent leur tour) : par exemple, deux ou trois ans d’efforts sur la santé pour améliorer le fonctionnement de l’hôpital, le réformer, investir dans la recherche et l’équipement, etc ; deux ans dans la justice pour résorber sa misère, deux ans pour la police, deux ans pour l’armée, etc  -	Diminuer la quantité de niches fiscales ; ne maintenir que celles qui génèrent de l’activité économique réelle et/ou de l’investissement dans la transition énergétique. Veiller à ce que les plafonds (en proportion de l’IR dû) favorisent les tranches basses et moyennes."	FI8	4
3249	3-3531	Lutte évasion, fraude, optimisation	"-	Augmenter la progressivité de l’impôt sur le revenu pour que les quelques % les plus fortunés paient un peu plus ; baisser les tranches des plus faibles revenus, adoucir la progressivité dans les tranches moyennes,  mais 100% des foyers fiscaux devraient payer un IR (symbolique ? c’est justement l’objectif !) ; universaliser le paiement de l’impôt sur le revenu, quels que soient les revenus, quitte à ce que le montant soit de quelques euros (le coût de recouvrement peut être très limité par la numérisation des opérations et le PAS).  Cela apporterait : sentiment d’appartenance, clarification de la notion de gratuité, fierté de contribuer aux revenus de l’état et pas seulement aux charges. On a créé au fil des ans des taxes (TVA, CSG/CRDS, autres) qui s’appliquent à tous sans progressivité (ou faible-CSG) pour compléter ce que l’IR ne rapportait pas. C’est inégalitaire, pas redistributif et pauvre en sens auprès des citoyens.   -	Intégrer la CSG/CRDS à l’IR (universalité de l’IR, renforcement de la progressivité= justice fiscale)  -	Instaurer des contreparties, systématiques et vérifiables, à tous les avantages fiscaux et à toutes les diminutions des charges (par exemple, investissements en France, recrutement, R&D dans les nouvelles technologies, diminution de l’empreinte carbone, mécénat, etc). Et appliquer un  ‘’impôt sur la mauvaise foi’’ si les contreparties ne sont pas remplies ; -	Réformer la taxe foncière et d’habitation (la suppression de la TH n’est pas une bonne idée, elle tend à faire croire que cette taxe n’était pas nécessaire –elle est noyée dans le budget de l’état donc invisible-, alors qu’elle est un outil de gestion et de démocratie locale si elle est réformée) ; de plus, dans le budget de l’état, elle n’est pas, à ce jour, financée ;  -	Au niveau européen forcer l’harmonisation fiscale des impôts des entreprises (abandonner la règle de l’unanimité) et lutter contre les paradis fiscaux européens (Iles Anglo-Normandes, Luxembourg, Pays-Bas, Irlande, UK après Brexit, Andorre(même si pas pays européen), avant de s’occuper des paradis fiscaux ailleurs dans le monde (sans les oublier pour autant, mais commençons par balayer chez nous si nous voulons être crédibles);  -	Au niveau français, renforcer la lutte contre la fraude fiscale, supprimer le verrou de Bercy ; mesures à rendement moyen en terme de chiffre, mais politiquement signifiantes.  -	Instaurer en France des taxes sur les multinationales qui ne paient pas l’impôt qu’elles devraient sans attendre que les autres pays européens en fassent de même (abandonner la règle de l’unanimité) ; cesser d’avoir peur d’une perte de compétitivité/attractivité sur ce seul motif là.   -	Affecter réellement les taxes aux objectifs pour lesquels elles ont été créées et en confier le contrôle au parlement (voire au CESE réformé-avec une part de citoyens tirés au sort-, par ex) ;   -	Instaurer des cycles pluriannuels d’affectations spécifiques ciblées dans les répartitions du budget de l’état pour créer un ‘’effet de masse’’ (à budget global égal = d’autres secteurs sont au ‘’pain sec’’ et attendent leur tour) : par exemple, deux ou trois ans d’efforts sur la santé pour améliorer le fonctionnement de l’hôpital, le réformer, investir dans la recherche et l’équipement, etc ; deux ans dans la justice pour résorber sa misère, deux ans pour la police, deux ans pour l’armée, etc  -	Diminuer la quantité de niches fiscales ; ne maintenir que celles qui génèrent de l’activité économique réelle et/ou de l’investissement dans la transition énergétique. Veiller à ce que les plafonds (en proportion de l’IR dû) favorisent les tranches basses et moyennes."	FI8	4
3250	3-3531	Mesurer l'impact	"-	Augmenter la progressivité de l’impôt sur le revenu pour que les quelques % les plus fortunés paient un peu plus ; baisser les tranches des plus faibles revenus, adoucir la progressivité dans les tranches moyennes,  mais 100% des foyers fiscaux devraient payer un IR (symbolique ? c’est justement l’objectif !) ; universaliser le paiement de l’impôt sur le revenu, quels que soient les revenus, quitte à ce que le montant soit de quelques euros (le coût de recouvrement peut être très limité par la numérisation des opérations et le PAS).  Cela apporterait : sentiment d’appartenance, clarification de la notion de gratuité, fierté de contribuer aux revenus de l’état et pas seulement aux charges. On a créé au fil des ans des taxes (TVA, CSG/CRDS, autres) qui s’appliquent à tous sans progressivité (ou faible-CSG) pour compléter ce que l’IR ne rapportait pas. C’est inégalitaire, pas redistributif et pauvre en sens auprès des citoyens.   -	Intégrer la CSG/CRDS à l’IR (universalité de l’IR, renforcement de la progressivité= justice fiscale)  -	Instaurer des contreparties, systématiques et vérifiables, à tous les avantages fiscaux et à toutes les diminutions des charges (par exemple, investissements en France, recrutement, R&D dans les nouvelles technologies, diminution de l’empreinte carbone, mécénat, etc). Et appliquer un  ‘’impôt sur la mauvaise foi’’ si les contreparties ne sont pas remplies ; -	Réformer la taxe foncière et d’habitation (la suppression de la TH n’est pas une bonne idée, elle tend à faire croire que cette taxe n’était pas nécessaire –elle est noyée dans le budget de l’état donc invisible-, alors qu’elle est un outil de gestion et de démocratie locale si elle est réformée) ; de plus, dans le budget de l’état, elle n’est pas, à ce jour, financée ;  -	Au niveau européen forcer l’harmonisation fiscale des impôts des entreprises (abandonner la règle de l’unanimité) et lutter contre les paradis fiscaux européens (Iles Anglo-Normandes, Luxembourg, Pays-Bas, Irlande, UK après Brexit, Andorre(même si pas pays européen), avant de s’occuper des paradis fiscaux ailleurs dans le monde (sans les oublier pour autant, mais commençons par balayer chez nous si nous voulons être crédibles);  -	Au niveau français, renforcer la lutte contre la fraude fiscale, supprimer le verrou de Bercy ; mesures à rendement moyen en terme de chiffre, mais politiquement signifiantes.  -	Instaurer en France des taxes sur les multinationales qui ne paient pas l’impôt qu’elles devraient sans attendre que les autres pays européens en fassent de même (abandonner la règle de l’unanimité) ; cesser d’avoir peur d’une perte de compétitivité/attractivité sur ce seul motif là.   -	Affecter réellement les taxes aux objectifs pour lesquels elles ont été créées et en confier le contrôle au parlement (voire au CESE réformé-avec une part de citoyens tirés au sort-, par ex) ;   -	Instaurer des cycles pluriannuels d’affectations spécifiques ciblées dans les répartitions du budget de l’état pour créer un ‘’effet de masse’’ (à budget global égal = d’autres secteurs sont au ‘’pain sec’’ et attendent leur tour) : par exemple, deux ou trois ans d’efforts sur la santé pour améliorer le fonctionnement de l’hôpital, le réformer, investir dans la recherche et l’équipement, etc ; deux ans dans la justice pour résorber sa misère, deux ans pour la police, deux ans pour l’armée, etc  -	Diminuer la quantité de niches fiscales ; ne maintenir que celles qui génèrent de l’activité économique réelle et/ou de l’investissement dans la transition énergétique. Veiller à ce que les plafonds (en proportion de l’IR dû) favorisent les tranches basses et moyennes."	FI8	1
3251	3-3531	P + de tranches IR progressives	"-	Augmenter la progressivité de l’impôt sur le revenu pour que les quelques % les plus fortunés paient un peu plus ; baisser les tranches des plus faibles revenus, adoucir la progressivité dans les tranches moyennes,  mais 100% des foyers fiscaux devraient payer un IR (symbolique ? c’est justement l’objectif !) ; universaliser le paiement de l’impôt sur le revenu, quels que soient les revenus, quitte à ce que le montant soit de quelques euros (le coût de recouvrement peut être très limité par la numérisation des opérations et le PAS).  Cela apporterait : sentiment d’appartenance, clarification de la notion de gratuité, fierté de contribuer aux revenus de l’état et pas seulement aux charges. On a créé au fil des ans des taxes (TVA, CSG/CRDS, autres) qui s’appliquent à tous sans progressivité (ou faible-CSG) pour compléter ce que l’IR ne rapportait pas. C’est inégalitaire, pas redistributif et pauvre en sens auprès des citoyens.   -	Intégrer la CSG/CRDS à l’IR (universalité de l’IR, renforcement de la progressivité= justice fiscale)  -	Instaurer des contreparties, systématiques et vérifiables, à tous les avantages fiscaux et à toutes les diminutions des charges (par exemple, investissements en France, recrutement, R&D dans les nouvelles technologies, diminution de l’empreinte carbone, mécénat, etc). Et appliquer un  ‘’impôt sur la mauvaise foi’’ si les contreparties ne sont pas remplies ; -	Réformer la taxe foncière et d’habitation (la suppression de la TH n’est pas une bonne idée, elle tend à faire croire que cette taxe n’était pas nécessaire –elle est noyée dans le budget de l’état donc invisible-, alors qu’elle est un outil de gestion et de démocratie locale si elle est réformée) ; de plus, dans le budget de l’état, elle n’est pas, à ce jour, financée ;  -	Au niveau européen forcer l’harmonisation fiscale des impôts des entreprises (abandonner la règle de l’unanimité) et lutter contre les paradis fiscaux européens (Iles Anglo-Normandes, Luxembourg, Pays-Bas, Irlande, UK après Brexit, Andorre(même si pas pays européen), avant de s’occuper des paradis fiscaux ailleurs dans le monde (sans les oublier pour autant, mais commençons par balayer chez nous si nous voulons être crédibles);  -	Au niveau français, renforcer la lutte contre la fraude fiscale, supprimer le verrou de Bercy ; mesures à rendement moyen en terme de chiffre, mais politiquement signifiantes.  -	Instaurer en France des taxes sur les multinationales qui ne paient pas l’impôt qu’elles devraient sans attendre que les autres pays européens en fassent de même (abandonner la règle de l’unanimité) ; cesser d’avoir peur d’une perte de compétitivité/attractivité sur ce seul motif là.   -	Affecter réellement les taxes aux objectifs pour lesquels elles ont été créées et en confier le contrôle au parlement (voire au CESE réformé-avec une part de citoyens tirés au sort-, par ex) ;   -	Instaurer des cycles pluriannuels d’affectations spécifiques ciblées dans les répartitions du budget de l’état pour créer un ‘’effet de masse’’ (à budget global égal = d’autres secteurs sont au ‘’pain sec’’ et attendent leur tour) : par exemple, deux ou trois ans d’efforts sur la santé pour améliorer le fonctionnement de l’hôpital, le réformer, investir dans la recherche et l’équipement, etc ; deux ans dans la justice pour résorber sa misère, deux ans pour la police, deux ans pour l’armée, etc  -	Diminuer la quantité de niches fiscales ; ne maintenir que celles qui génèrent de l’activité économique réelle et/ou de l’investissement dans la transition énergétique. Veiller à ce que les plafonds (en proportion de l’IR dû) favorisent les tranches basses et moyennes."	FI8	3
3252	3-3531	Revoir niches	"-	Augmenter la progressivité de l’impôt sur le revenu pour que les quelques % les plus fortunés paient un peu plus ; baisser les tranches des plus faibles revenus, adoucir la progressivité dans les tranches moyennes,  mais 100% des foyers fiscaux devraient payer un IR (symbolique ? c’est justement l’objectif !) ; universaliser le paiement de l’impôt sur le revenu, quels que soient les revenus, quitte à ce que le montant soit de quelques euros (le coût de recouvrement peut être très limité par la numérisation des opérations et le PAS).  Cela apporterait : sentiment d’appartenance, clarification de la notion de gratuité, fierté de contribuer aux revenus de l’état et pas seulement aux charges. On a créé au fil des ans des taxes (TVA, CSG/CRDS, autres) qui s’appliquent à tous sans progressivité (ou faible-CSG) pour compléter ce que l’IR ne rapportait pas. C’est inégalitaire, pas redistributif et pauvre en sens auprès des citoyens.   -	Intégrer la CSG/CRDS à l’IR (universalité de l’IR, renforcement de la progressivité= justice fiscale)  -	Instaurer des contreparties, systématiques et vérifiables, à tous les avantages fiscaux et à toutes les diminutions des charges (par exemple, investissements en France, recrutement, R&D dans les nouvelles technologies, diminution de l’empreinte carbone, mécénat, etc). Et appliquer un  ‘’impôt sur la mauvaise foi’’ si les contreparties ne sont pas remplies ; -	Réformer la taxe foncière et d’habitation (la suppression de la TH n’est pas une bonne idée, elle tend à faire croire que cette taxe n’était pas nécessaire –elle est noyée dans le budget de l’état donc invisible-, alors qu’elle est un outil de gestion et de démocratie locale si elle est réformée) ; de plus, dans le budget de l’état, elle n’est pas, à ce jour, financée ;  -	Au niveau européen forcer l’harmonisation fiscale des impôts des entreprises (abandonner la règle de l’unanimité) et lutter contre les paradis fiscaux européens (Iles Anglo-Normandes, Luxembourg, Pays-Bas, Irlande, UK après Brexit, Andorre(même si pas pays européen), avant de s’occuper des paradis fiscaux ailleurs dans le monde (sans les oublier pour autant, mais commençons par balayer chez nous si nous voulons être crédibles);  -	Au niveau français, renforcer la lutte contre la fraude fiscale, supprimer le verrou de Bercy ; mesures à rendement moyen en terme de chiffre, mais politiquement signifiantes.  -	Instaurer en France des taxes sur les multinationales qui ne paient pas l’impôt qu’elles devraient sans attendre que les autres pays européens en fassent de même (abandonner la règle de l’unanimité) ; cesser d’avoir peur d’une perte de compétitivité/attractivité sur ce seul motif là.   -	Affecter réellement les taxes aux objectifs pour lesquels elles ont été créées et en confier le contrôle au parlement (voire au CESE réformé-avec une part de citoyens tirés au sort-, par ex) ;   -	Instaurer des cycles pluriannuels d’affectations spécifiques ciblées dans les répartitions du budget de l’état pour créer un ‘’effet de masse’’ (à budget global égal = d’autres secteurs sont au ‘’pain sec’’ et attendent leur tour) : par exemple, deux ou trois ans d’efforts sur la santé pour améliorer le fonctionnement de l’hôpital, le réformer, investir dans la recherche et l’équipement, etc ; deux ans dans la justice pour résorber sa misère, deux ans pour la police, deux ans pour l’armée, etc  -	Diminuer la quantité de niches fiscales ; ne maintenir que celles qui génèrent de l’activité économique réelle et/ou de l’investissement dans la transition énergétique. Veiller à ce que les plafonds (en proportion de l’IR dû) favorisent les tranches basses et moyennes."	FI8	4
3253	3-3531	Suppression TH	"-	Augmenter la progressivité de l’impôt sur le revenu pour que les quelques % les plus fortunés paient un peu plus ; baisser les tranches des plus faibles revenus, adoucir la progressivité dans les tranches moyennes,  mais 100% des foyers fiscaux devraient payer un IR (symbolique ? c’est justement l’objectif !) ; universaliser le paiement de l’impôt sur le revenu, quels que soient les revenus, quitte à ce que le montant soit de quelques euros (le coût de recouvrement peut être très limité par la numérisation des opérations et le PAS).  Cela apporterait : sentiment d’appartenance, clarification de la notion de gratuité, fierté de contribuer aux revenus de l’état et pas seulement aux charges. On a créé au fil des ans des taxes (TVA, CSG/CRDS, autres) qui s’appliquent à tous sans progressivité (ou faible-CSG) pour compléter ce que l’IR ne rapportait pas. C’est inégalitaire, pas redistributif et pauvre en sens auprès des citoyens.   -	Intégrer la CSG/CRDS à l’IR (universalité de l’IR, renforcement de la progressivité= justice fiscale)  -	Instaurer des contreparties, systématiques et vérifiables, à tous les avantages fiscaux et à toutes les diminutions des charges (par exemple, investissements en France, recrutement, R&D dans les nouvelles technologies, diminution de l’empreinte carbone, mécénat, etc). Et appliquer un  ‘’impôt sur la mauvaise foi’’ si les contreparties ne sont pas remplies ; -	Réformer la taxe foncière et d’habitation (la suppression de la TH n’est pas une bonne idée, elle tend à faire croire que cette taxe n’était pas nécessaire –elle est noyée dans le budget de l’état donc invisible-, alors qu’elle est un outil de gestion et de démocratie locale si elle est réformée) ; de plus, dans le budget de l’état, elle n’est pas, à ce jour, financée ;  -	Au niveau européen forcer l’harmonisation fiscale des impôts des entreprises (abandonner la règle de l’unanimité) et lutter contre les paradis fiscaux européens (Iles Anglo-Normandes, Luxembourg, Pays-Bas, Irlande, UK après Brexit, Andorre(même si pas pays européen), avant de s’occuper des paradis fiscaux ailleurs dans le monde (sans les oublier pour autant, mais commençons par balayer chez nous si nous voulons être crédibles);  -	Au niveau français, renforcer la lutte contre la fraude fiscale, supprimer le verrou de Bercy ; mesures à rendement moyen en terme de chiffre, mais politiquement signifiantes.  -	Instaurer en France des taxes sur les multinationales qui ne paient pas l’impôt qu’elles devraient sans attendre que les autres pays européens en fassent de même (abandonner la règle de l’unanimité) ; cesser d’avoir peur d’une perte de compétitivité/attractivité sur ce seul motif là.   -	Affecter réellement les taxes aux objectifs pour lesquels elles ont été créées et en confier le contrôle au parlement (voire au CESE réformé-avec une part de citoyens tirés au sort-, par ex) ;   -	Instaurer des cycles pluriannuels d’affectations spécifiques ciblées dans les répartitions du budget de l’état pour créer un ‘’effet de masse’’ (à budget global égal = d’autres secteurs sont au ‘’pain sec’’ et attendent leur tour) : par exemple, deux ou trois ans d’efforts sur la santé pour améliorer le fonctionnement de l’hôpital, le réformer, investir dans la recherche et l’équipement, etc ; deux ans dans la justice pour résorber sa misère, deux ans pour la police, deux ans pour l’armée, etc  -	Diminuer la quantité de niches fiscales ; ne maintenir que celles qui génèrent de l’activité économique réelle et/ou de l’investissement dans la transition énergétique. Veiller à ce que les plafonds (en proportion de l’IR dû) favorisent les tranches basses et moyennes."	FI8	1
