	contribution	tag	corpus	question	count
473	1-20598	Même traitement pour toutes les religions	laicité forte qui arrete de ceder devant le communitarisme arreter de conspuer la majorité blanche catholique et de surproteger les minorités	127	1
474	1-20614	Pas d'imposition des valeurs	Plus d'actions au niveau des écoles, des banlieues afin de prôner la tolérance, le respect des différences	127	1
475	1-20614	Plus d'éducation	Plus d'actions au niveau des écoles, des banlieues afin de prôner la tolérance, le respect des différences	127	7
476	1-20614	Plus de dialogue	Plus d'actions au niveau des écoles, des banlieues afin de prôner la tolérance, le respect des différences	127	3
477	1-20614	Plus de tolérance	Plus d'actions au niveau des écoles, des banlieues afin de prôner la tolérance, le respect des différences	127	7
478	1-2068	Y Rien	Rien	127	3
479	1-20697	Aucun financement par l'Etat	Suppression des aides.	127	3
480	1-20768	Application loi 1905	Dans un premier temps il faudrait abroger les titres honorifiques (chanoine de latran, par ex) dont bénéficie le chef de l'état. Cesser de financer les lieux de cultes (cf. églises catholiques dont l'entretien est à la charge des mairies). La loi est identique pour tous, aucun compromis ne doit s'effectuer, c'est à la religion de se soumettre à la loi, et non à la loi de se soumettre à la religion. L'étiquette religieuse devrait être interdite pour tout parti politique (cf. Parti Chrétien Démocrate).  L'Etat reste encore trop marqué par son histoire et des liens étroits entretenus historiquement avec le catholicisme. On ne peut prôner le principe de laïcité pour toutes les religions quand le catholicisme occupe une place indéniable dans la vie politique.	127	1
481	1-20768	Aucun financement par l'Etat	Dans un premier temps il faudrait abroger les titres honorifiques (chanoine de latran, par ex) dont bénéficie le chef de l'état. Cesser de financer les lieux de cultes (cf. églises catholiques dont l'entretien est à la charge des mairies). La loi est identique pour tous, aucun compromis ne doit s'effectuer, c'est à la religion de se soumettre à la loi, et non à la loi de se soumettre à la religion. L'étiquette religieuse devrait être interdite pour tout parti politique (cf. Parti Chrétien Démocrate).  L'Etat reste encore trop marqué par son histoire et des liens étroits entretenus historiquement avec le catholicisme. On ne peut prôner le principe de laïcité pour toutes les religions quand le catholicisme occupe une place indéniable dans la vie politique.	127	5
482	1-20768	Loi de la République avant celles de la religion	Dans un premier temps il faudrait abroger les titres honorifiques (chanoine de latran, par ex) dont bénéficie le chef de l'état. Cesser de financer les lieux de cultes (cf. églises catholiques dont l'entretien est à la charge des mairies). La loi est identique pour tous, aucun compromis ne doit s'effectuer, c'est à la religion de se soumettre à la loi, et non à la loi de se soumettre à la religion. L'étiquette religieuse devrait être interdite pour tout parti politique (cf. Parti Chrétien Démocrate).  L'Etat reste encore trop marqué par son histoire et des liens étroits entretenus historiquement avec le catholicisme. On ne peut prôner le principe de laïcité pour toutes les religions quand le catholicisme occupe une place indéniable dans la vie politique.	127	5
483	1-20768	Même traitement pour toutes les religions	Dans un premier temps il faudrait abroger les titres honorifiques (chanoine de latran, par ex) dont bénéficie le chef de l'état. Cesser de financer les lieux de cultes (cf. églises catholiques dont l'entretien est à la charge des mairies). La loi est identique pour tous, aucun compromis ne doit s'effectuer, c'est à la religion de se soumettre à la loi, et non à la loi de se soumettre à la religion. L'étiquette religieuse devrait être interdite pour tout parti politique (cf. Parti Chrétien Démocrate).  L'Etat reste encore trop marqué par son histoire et des liens étroits entretenus historiquement avec le catholicisme. On ne peut prôner le principe de laïcité pour toutes les religions quand le catholicisme occupe une place indéniable dans la vie politique.	127	3
484	1-20768	Redonner un aspect privé à la religion	Dans un premier temps il faudrait abroger les titres honorifiques (chanoine de latran, par ex) dont bénéficie le chef de l'état. Cesser de financer les lieux de cultes (cf. églises catholiques dont l'entretien est à la charge des mairies). La loi est identique pour tous, aucun compromis ne doit s'effectuer, c'est à la religion de se soumettre à la loi, et non à la loi de se soumettre à la religion. L'étiquette religieuse devrait être interdite pour tout parti politique (cf. Parti Chrétien Démocrate).  L'Etat reste encore trop marqué par son histoire et des liens étroits entretenus historiquement avec le catholicisme. On ne peut prôner le principe de laïcité pour toutes les religions quand le catholicisme occupe une place indéniable dans la vie politique.	127	1
485	1-20768	Séparation stricte Etat-religions	Dans un premier temps il faudrait abroger les titres honorifiques (chanoine de latran, par ex) dont bénéficie le chef de l'état. Cesser de financer les lieux de cultes (cf. églises catholiques dont l'entretien est à la charge des mairies). La loi est identique pour tous, aucun compromis ne doit s'effectuer, c'est à la religion de se soumettre à la loi, et non à la loi de se soumettre à la religion. L'étiquette religieuse devrait être interdite pour tout parti politique (cf. Parti Chrétien Démocrate).  L'Etat reste encore trop marqué par son histoire et des liens étroits entretenus historiquement avec le catholicisme. On ne peut prôner le principe de laïcité pour toutes les religions quand le catholicisme occupe une place indéniable dans la vie politique.	127	3
486	1-20786	Plus d'éducation	Si les citoyens se sentaient appartenir à une société ils ne se réfugierait pas dans une communauté religieuse. Aujourd'hui certaines religion apporte le lien social que la société n'apporte plus. Il faut réformer l'école en repartissant les options partout : proposer du latin et du grec ou de l'allemand partout et pas seulement en centre ville	127	4
487	1-20812	Y Rien	Ras	127	3
488	1-20917	Y Rien	Je ne sais pas.	127	1
489	1-20940	Application loi 1905	Appliquer effectivement la loi existante sur la base de la loi de 1905	127	3
490	1-20955	Y Rien	Rien	127	3
491	1-21012	Y Rien	Rien	127	3
492	1-211	Y Rien	Rien	127	3
493	1-21101	Application loi 1905	Supprimer le ministère des cultes et ne pas toucher à la loi de 1905 qui est parfaite et que personne ne veut remettre en question	127	6
494	1-21101	Séparation stricte Etat-religions	Supprimer le ministère des cultes et ne pas toucher à la loi de 1905 qui est parfaite et que personne ne veut remettre en question	127	2
495	1-21122	Application loi 1905	La loi de 1905 suffit	127	3
496	1-21151	Aucun signe ostentatoire (croix, voile, kippa...)	Interdire tout signe de réligion sur le domaine public	127	3
497	1-21263	Y Rien	Rien	127	3
498	1-21293	Condamnation des atteintes à la laïcité	Ne rien admettre qui soit en contradiction avec les lois de la République dans les enceintes religieuses. fermeture dans le cas contraire et peines pénales adaptées	127	4
499	1-21293	Loi de la République avant celles de la religion	Ne rien admettre qui soit en contradiction avec les lois de la République dans les enceintes religieuses. fermeture dans le cas contraire et peines pénales adaptées	127	6
500	1-21305	Y Rien	Rien	127	3
501	1-21345	Y Rien	Rien	127	3
502	1-21453	Application loi 1905	La loi de 1905 devrait suffire, nous sommes une nation judéo-chrétienne et nous n'avons pas à promulguer les autres religions qui devraient se suffire à elles-mêmes et qui devraient se soumettre et non se substituer à nos lois.	127	5
503	1-21453	Loi de la République avant celles de la religion	La loi de 1905 devrait suffire, nous sommes une nation judéo-chrétienne et nous n'avons pas à promulguer les autres religions qui devraient se suffire à elles-mêmes et qui devraient se soumettre et non se substituer à nos lois.	127	2
504	1-21453	Y Rien	La loi de 1905 devrait suffire, nous sommes une nation judéo-chrétienne et nous n'avons pas à promulguer les autres religions qui devraient se suffire à elles-mêmes et qui devraient se soumettre et non se substituer à nos lois.	127	1
505	1-21468	Y Rien	RAS	127	3
506	1-21488	Y Rien	Pas d'avis	127	1
507	1-2151	Y Rien	Oui	127	1
508	1-21513	Application loi 1905	Neutralité.	127	2
509	1-21513	Même traitement pour toutes les religions	Neutralité.	127	2
510	1-21513	Y Rien	Neutralité.	127	1
511	1-21567	Y Rien	RAS	127	3
512	1-21585	Aucun signe ostentatoire (croix, voile, kippa...)	supprimer tous les signes d'appartenance religieuse dans les écoles et dans les services publics	127	2
513	1-21627	Plus d'éducation	Garantir la formation de tous les citoyens sur la laïcité. Trop de n'importe quoi dans les débats publics.	127	4
514	1-21639	Condamnation des atteintes à la laïcité	"C'est le ""mieux vivre ensemble""! Remettre à plat le concept de laïcité, qu'il soit mieux compris  par nos concitoyen. qu'il soit enseigné dés le plus jeune age, ainsi qu'aux étranger désirant vivre dans notre pays.Et surtout, qu'il soit réellement appliqué!!! sans concession! Engager un grand débat sur la laïcité"	127	1
515	1-21639	Plus d'éducation	"C'est le ""mieux vivre ensemble""! Remettre à plat le concept de laïcité, qu'il soit mieux compris  par nos concitoyen. qu'il soit enseigné dés le plus jeune age, ainsi qu'aux étranger désirant vivre dans notre pays.Et surtout, qu'il soit réellement appliqué!!! sans concession! Engager un grand débat sur la laïcité"	127	3
516	1-21639	Plus de dialogue	"C'est le ""mieux vivre ensemble""! Remettre à plat le concept de laïcité, qu'il soit mieux compris  par nos concitoyen. qu'il soit enseigné dés le plus jeune age, ainsi qu'aux étranger désirant vivre dans notre pays.Et surtout, qu'il soit réellement appliqué!!! sans concession! Engager un grand débat sur la laïcité"	127	3
517	1-21742	Application loi 1905	Application stricte de la loi de 1905	127	3
518	1-21808	Y Rien	Rien.	127	3
519	1-21818	Application loi 1905	Ne pas toucher à la loi de 1905 à l'équilibre fragile	127	3
520	1-21887	Y Rien	rien	127	3
521	1-21901	Aucun signe ostentatoire (croix, voile, kippa...)	interdire le port du voile. Inviter les pétro-dollars de l'Arabie saoudite à être dépensés dans des projets utiles aux Arabes et non à remplir les caisses d'LVMH, pour réduire le terrorisme.	127	4
522	1-21901	Lutte contre extrémismes	interdire le port du voile. Inviter les pétro-dollars de l'Arabie saoudite à être dépensés dans des projets utiles aux Arabes et non à remplir les caisses d'LVMH, pour réduire le terrorisme.	127	1
523	1-21901	Réduire financements étrangers	interdire le port du voile. Inviter les pétro-dollars de l'Arabie saoudite à être dépensés dans des projets utiles aux Arabes et non à remplir les caisses d'LVMH, pour réduire le terrorisme.	127	3
524	1-21972	Y Rien	RAS	127	3
525	1-22005	Y Rien	ras	127	3
526	1-22082	Application loi 1905	Application stricte de la loi de 1905	127	3
527	1-22108	Y Rien	Rien	127	3
528	1-2214	Garantir la liberté de culte	la tolérance de toutes les religions mais leur expression doit se faire dans l'espace privé	127	1
529	1-2214	Même traitement pour toutes les religions	la tolérance de toutes les religions mais leur expression doit se faire dans l'espace privé	127	2
530	1-2214	Plus de tolérance	la tolérance de toutes les religions mais leur expression doit se faire dans l'espace privé	127	4
531	1-2214	Redonner un aspect privé à la religion	la tolérance de toutes les religions mais leur expression doit se faire dans l'espace privé	127	6
532	1-22206	Y Rien	Rien.	127	3
533	1-22227	Application loi 1905	Rester ferme sur la loi de laïcité	127	3
534	1-22227	Loi de la République avant celles de la religion	Rester ferme sur la loi de laïcité	127	1
535	1-22440	Y Rien	rien	127	3
536	1-22470	Y Rien	Rien	127	3
537	1-22475	Y Rien	rien	127	3
538	1-22530	Y Rien	RAS	127	3
539	1-22572	Aucun financement par l'Etat	Aucun argent public ne doit servir les cultes: ni direct, ni par des associations / fondations. Aucune école religieuse ne doit être financée publiquement.	127	5
540	1-22572	Statut des écoles religieuses	Aucun argent public ne doit servir les cultes: ni direct, ni par des associations / fondations. Aucune école religieuse ne doit être financée publiquement.	127	3
541	1-22572	Séparation stricte Etat-religions	Aucun argent public ne doit servir les cultes: ni direct, ni par des associations / fondations. Aucune école religieuse ne doit être financée publiquement.	127	3
542	1-2273	Y Rien	Rien	127	3
543	1-22792	Même traitement pour toutes les religions	Que l'église catholique ne soit pas toujours et systématiquement stigmatisée dans les médias. Que les religions et les religieux de toutes confessions soient entendus pour les questions d'éthique.	127	4
544	1-22792	Pas d'imposition des valeurs	Que l'église catholique ne soit pas toujours et systématiquement stigmatisée dans les médias. Que les religions et les religieux de toutes confessions soient entendus pour les questions d'éthique.	127	1
545	1-22792	Plus de dialogue	Que l'église catholique ne soit pas toujours et systématiquement stigmatisée dans les médias. Que les religions et les religieux de toutes confessions soient entendus pour les questions d'éthique.	127	3
546	1-22815	Y Rien	rien	127	3
547	1-22832	Y Rien	RAS	127	3
548	1-22892	Y Rien	Rien	127	3
549	1-22911	Y Rien	-	127	1
550	1-22914	Application loi 1905	respect de la loi de 1907	127	3
551	1-23149	Y Rien	Ras	127	3
552	1-23266	Séparation stricte Etat-religions	"il serait important que le président n'aille pas faire des ""coucous"" à l'Eglise..."	127	3
553	1-23273	Application loi 1905	Priorité absolue des lois de la république sur les lois religieuses remise à plat de l'islam de france puisqu'il s'agit en priorité de cette religion.	127	1
554	1-23273	Encadrer formation imams	Priorité absolue des lois de la république sur les lois religieuses remise à plat de l'islam de france puisqu'il s'agit en priorité de cette religion.	127	3
555	1-23273	Loi de la République avant celles de la religion	Priorité absolue des lois de la république sur les lois religieuses remise à plat de l'islam de france puisqu'il s'agit en priorité de cette religion.	127	5
556	1-23273	Lutte contre extrémismes	Priorité absolue des lois de la république sur les lois religieuses remise à plat de l'islam de france puisqu'il s'agit en priorité de cette religion.	127	1
557	1-23273	Redonner un aspect privé à la religion	Priorité absolue des lois de la république sur les lois religieuses remise à plat de l'islam de france puisqu'il s'agit en priorité de cette religion.	127	1
558	1-2328	Aucun signe ostentatoire (croix, voile, kippa...)	AUCUN signe distinctif ou participation d'une personne élue de la république à un rendez vous ou manifestation religieuse quelle qu'elle soit	127	3
559	1-2328	Séparation stricte Etat-religions	AUCUN signe distinctif ou participation d'une personne élue de la république à un rendez vous ou manifestation religieuse quelle qu'elle soit	127	1
560	1-23365	Application loi 1905	Il faudrait appliquer équitablement et avec justice la laïcité, c'est-à-dire par exemple supprimer le concordat en Alsace-Moselle, arrêter les discriminations envers les religions (principalement non catholique), au niveau de l'école avoir des cours de science des religions...	127	1
561	1-23365	Même traitement pour toutes les religions	Il faudrait appliquer équitablement et avec justice la laïcité, c'est-à-dire par exemple supprimer le concordat en Alsace-Moselle, arrêter les discriminations envers les religions (principalement non catholique), au niveau de l'école avoir des cours de science des religions...	127	3
562	1-23365	Plus d'éducation	Il faudrait appliquer équitablement et avec justice la laïcité, c'est-à-dire par exemple supprimer le concordat en Alsace-Moselle, arrêter les discriminations envers les religions (principalement non catholique), au niveau de l'école avoir des cours de science des religions...	127	4
563	1-2340	Y Rien	ras	127	3
564	1-2354	Application loi 1905	Les principes de la laïcité me semblent très clairs. Il faut les protéger et protéger notre pays de l'emprise des religions qui doivent rester une affaire personnelle et individuelle. Conte carrer l'emprise de toutes les  communautés religieuses	127	4
565	1-2354	Loi de la République avant celles de la religion	Les principes de la laïcité me semblent très clairs. Il faut les protéger et protéger notre pays de l'emprise des religions qui doivent rester une affaire personnelle et individuelle. Conte carrer l'emprise de toutes les  communautés religieuses	127	1
566	1-2354	Redonner un aspect privé à la religion	Les principes de la laïcité me semblent très clairs. Il faut les protéger et protéger notre pays de l'emprise des religions qui doivent rester une affaire personnelle et individuelle. Conte carrer l'emprise de toutes les  communautés religieuses	127	7
567	1-2354	Séparation stricte Etat-religions	Les principes de la laïcité me semblent très clairs. Il faut les protéger et protéger notre pays de l'emprise des religions qui doivent rester une affaire personnelle et individuelle. Conte carrer l'emprise de toutes les  communautés religieuses	127	2
568	1-23541	Y Rien	Rien	127	3
569	1-23553	Y Rien	Rien	127	3
570	1-23580	Y Rien	rien	127	3
571	1-23670	Application loi 1905	surtout ne pas renoncer à la loi de 1905;ne pas favoriser l'islam,le contrôler,interdire le salafisme piloté de l'extérieur et contraire aux principes républicains.	127	6
572	1-23670	Encadrer formation imams	surtout ne pas renoncer à la loi de 1905;ne pas favoriser l'islam,le contrôler,interdire le salafisme piloté de l'extérieur et contraire aux principes républicains.	127	2
573	1-23670	Loi de la République avant celles de la religion	surtout ne pas renoncer à la loi de 1905;ne pas favoriser l'islam,le contrôler,interdire le salafisme piloté de l'extérieur et contraire aux principes républicains.	127	3
574	1-23670	Lutte contre extrémismes	surtout ne pas renoncer à la loi de 1905;ne pas favoriser l'islam,le contrôler,interdire le salafisme piloté de l'extérieur et contraire aux principes républicains.	127	6
575	1-23670	Même traitement pour toutes les religions	surtout ne pas renoncer à la loi de 1905;ne pas favoriser l'islam,le contrôler,interdire le salafisme piloté de l'extérieur et contraire aux principes républicains.	127	1
576	1-23670	Réduire financements étrangers	surtout ne pas renoncer à la loi de 1905;ne pas favoriser l'islam,le contrôler,interdire le salafisme piloté de l'extérieur et contraire aux principes républicains.	127	3
577	1-23687	Application loi 1905	la loi de 1905 suffit	127	3
578	1-23689	Aucun financement par l'Etat	Toutes les fois où les religions prennent le pas, les conséquences pour les citoyens sont néfastes. Les religions sont par essence une mauvaise chose pour la liberté de conscience, d'agissement et la démocratie. Il faut faire en sorte d'éviter que des groupements religieux puissent agir comme on le voit aux USA, où les évangélistes parviennent à manipuler les consciences et obliger les gens à se comporter en fonction de règles qui leur sont dictées. Les religions sont un poison, ce point de vue. Il est effrayant de voir tout un peuple exécuter les mêmes rites et se complaire dans des carcans comportementaux qu'ils semblent accepter, malgré les contraintes. Ainsi en Russie, en Pologne…  Il faut totalement exclure les églises et les religions du champ politique. Il n'est pas normal que l'Etat subventionne celles-ci, quelles qu'elles soient. Nous allons arriver à des aberrations dans ce domaine si nous n'y prenons pas garde. Il faut donc établir des règles constitutionnelles interdisant les interférences de l'Etat avec les Eglises, très nombreuses et qui un jour, voudront toutes être aidées de la même manière. Pas de passe-droit en la matière. Les religions sont un instrument d'asservissement des peuples, quand elles s'imposent comme un passage obligé. Les fanatismes mènent aux guerres, notamment aux guerres civiles, et à la haine, entretenue par les clergés.	127	3
579	1-23689	Condamnation des atteintes à la laïcité	Toutes les fois où les religions prennent le pas, les conséquences pour les citoyens sont néfastes. Les religions sont par essence une mauvaise chose pour la liberté de conscience, d'agissement et la démocratie. Il faut faire en sorte d'éviter que des groupements religieux puissent agir comme on le voit aux USA, où les évangélistes parviennent à manipuler les consciences et obliger les gens à se comporter en fonction de règles qui leur sont dictées. Les religions sont un poison, ce point de vue. Il est effrayant de voir tout un peuple exécuter les mêmes rites et se complaire dans des carcans comportementaux qu'ils semblent accepter, malgré les contraintes. Ainsi en Russie, en Pologne…  Il faut totalement exclure les églises et les religions du champ politique. Il n'est pas normal que l'Etat subventionne celles-ci, quelles qu'elles soient. Nous allons arriver à des aberrations dans ce domaine si nous n'y prenons pas garde. Il faut donc établir des règles constitutionnelles interdisant les interférences de l'Etat avec les Eglises, très nombreuses et qui un jour, voudront toutes être aidées de la même manière. Pas de passe-droit en la matière. Les religions sont un instrument d'asservissement des peuples, quand elles s'imposent comme un passage obligé. Les fanatismes mènent aux guerres, notamment aux guerres civiles, et à la haine, entretenue par les clergés.	127	1
580	1-23689	Lutte contre extrémismes	Toutes les fois où les religions prennent le pas, les conséquences pour les citoyens sont néfastes. Les religions sont par essence une mauvaise chose pour la liberté de conscience, d'agissement et la démocratie. Il faut faire en sorte d'éviter que des groupements religieux puissent agir comme on le voit aux USA, où les évangélistes parviennent à manipuler les consciences et obliger les gens à se comporter en fonction de règles qui leur sont dictées. Les religions sont un poison, ce point de vue. Il est effrayant de voir tout un peuple exécuter les mêmes rites et se complaire dans des carcans comportementaux qu'ils semblent accepter, malgré les contraintes. Ainsi en Russie, en Pologne…  Il faut totalement exclure les églises et les religions du champ politique. Il n'est pas normal que l'Etat subventionne celles-ci, quelles qu'elles soient. Nous allons arriver à des aberrations dans ce domaine si nous n'y prenons pas garde. Il faut donc établir des règles constitutionnelles interdisant les interférences de l'Etat avec les Eglises, très nombreuses et qui un jour, voudront toutes être aidées de la même manière. Pas de passe-droit en la matière. Les religions sont un instrument d'asservissement des peuples, quand elles s'imposent comme un passage obligé. Les fanatismes mènent aux guerres, notamment aux guerres civiles, et à la haine, entretenue par les clergés.	127	1
581	1-23689	Séparation stricte Etat-religions	Toutes les fois où les religions prennent le pas, les conséquences pour les citoyens sont néfastes. Les religions sont par essence une mauvaise chose pour la liberté de conscience, d'agissement et la démocratie. Il faut faire en sorte d'éviter que des groupements religieux puissent agir comme on le voit aux USA, où les évangélistes parviennent à manipuler les consciences et obliger les gens à se comporter en fonction de règles qui leur sont dictées. Les religions sont un poison, ce point de vue. Il est effrayant de voir tout un peuple exécuter les mêmes rites et se complaire dans des carcans comportementaux qu'ils semblent accepter, malgré les contraintes. Ainsi en Russie, en Pologne…  Il faut totalement exclure les églises et les religions du champ politique. Il n'est pas normal que l'Etat subventionne celles-ci, quelles qu'elles soient. Nous allons arriver à des aberrations dans ce domaine si nous n'y prenons pas garde. Il faut donc établir des règles constitutionnelles interdisant les interférences de l'Etat avec les Eglises, très nombreuses et qui un jour, voudront toutes être aidées de la même manière. Pas de passe-droit en la matière. Les religions sont un instrument d'asservissement des peuples, quand elles s'imposent comme un passage obligé. Les fanatismes mènent aux guerres, notamment aux guerres civiles, et à la haine, entretenue par les clergés.	127	3
582	1-23843	Application loi 1905	La laïcité n’est pas le rejet de la religion mais la tolérance et l’acceptation de toutes les religions. L’État ne devrait pas essayer de s’éloigner des religions mais plutôt de dialoguer et faire en sorte que tout le monde puisse vivre ensemble sans avoir peur ou honte d’appartenir à une religion et être libre de le montrer tout en respectant les croyances ou non-croyances des autres. Ainsi le principe selon lequel on ne doit pas montrer d’appartenance religieuse dans un lieu public est une aberration et ne devrait s’appliquer que pour des représentants de l’État car il porte atteinte à la liberté de chacun.	127	1
583	1-23843	Garantir la liberté de culte	La laïcité n’est pas le rejet de la religion mais la tolérance et l’acceptation de toutes les religions. L’État ne devrait pas essayer de s’éloigner des religions mais plutôt de dialoguer et faire en sorte que tout le monde puisse vivre ensemble sans avoir peur ou honte d’appartenir à une religion et être libre de le montrer tout en respectant les croyances ou non-croyances des autres. Ainsi le principe selon lequel on ne doit pas montrer d’appartenance religieuse dans un lieu public est une aberration et ne devrait s’appliquer que pour des représentants de l’État car il porte atteinte à la liberté de chacun.	127	3
584	1-23843	Même traitement pour toutes les religions	La laïcité n’est pas le rejet de la religion mais la tolérance et l’acceptation de toutes les religions. L’État ne devrait pas essayer de s’éloigner des religions mais plutôt de dialoguer et faire en sorte que tout le monde puisse vivre ensemble sans avoir peur ou honte d’appartenir à une religion et être libre de le montrer tout en respectant les croyances ou non-croyances des autres. Ainsi le principe selon lequel on ne doit pas montrer d’appartenance religieuse dans un lieu public est une aberration et ne devrait s’appliquer que pour des représentants de l’État car il porte atteinte à la liberté de chacun.	127	1
585	1-23843	Plus de dialogue	La laïcité n’est pas le rejet de la religion mais la tolérance et l’acceptation de toutes les religions. L’État ne devrait pas essayer de s’éloigner des religions mais plutôt de dialoguer et faire en sorte que tout le monde puisse vivre ensemble sans avoir peur ou honte d’appartenir à une religion et être libre de le montrer tout en respectant les croyances ou non-croyances des autres. Ainsi le principe selon lequel on ne doit pas montrer d’appartenance religieuse dans un lieu public est une aberration et ne devrait s’appliquer que pour des représentants de l’État car il porte atteinte à la liberté de chacun.	127	5
586	1-23843	Plus de tolérance	La laïcité n’est pas le rejet de la religion mais la tolérance et l’acceptation de toutes les religions. L’État ne devrait pas essayer de s’éloigner des religions mais plutôt de dialoguer et faire en sorte que tout le monde puisse vivre ensemble sans avoir peur ou honte d’appartenir à une religion et être libre de le montrer tout en respectant les croyances ou non-croyances des autres. Ainsi le principe selon lequel on ne doit pas montrer d’appartenance religieuse dans un lieu public est une aberration et ne devrait s’appliquer que pour des représentants de l’État car il porte atteinte à la liberté de chacun.	127	5
587	1-23843	Séparation stricte Etat-religions	La laïcité n’est pas le rejet de la religion mais la tolérance et l’acceptation de toutes les religions. L’État ne devrait pas essayer de s’éloigner des religions mais plutôt de dialoguer et faire en sorte que tout le monde puisse vivre ensemble sans avoir peur ou honte d’appartenir à une religion et être libre de le montrer tout en respectant les croyances ou non-croyances des autres. Ainsi le principe selon lequel on ne doit pas montrer d’appartenance religieuse dans un lieu public est une aberration et ne devrait s’appliquer que pour des représentants de l’État car il porte atteinte à la liberté de chacun.	127	1
588	1-23862	Y Rien	RAS	127	3
589	1-2391	Y Rien	RAS	127	3
590	1-23921	Y Rien	Rien	127	3
591	1-23985	Condamnation des atteintes à la laïcité	Des sanctions fortes à l'encontre des prêcheurs de haine et de ceux qui les suivent.	127	3
592	1-24012	Application loi 1905	Ne pas toucher à la loi 1905	127	4
593	1-24012	Y Rien	Ne pas toucher à la loi 1905	127	1
594	1-24093	Aucun financement par l'Etat	que les gouvernements et politiques de toutes tendances arretent de rencontrer les représentants religieux et de couper le cordon définitivement avec la religion de tout bord et aussi financièrement pour certaines	127	3
595	1-24093	Séparation stricte Etat-religions	que les gouvernements et politiques de toutes tendances arretent de rencontrer les représentants religieux et de couper le cordon définitivement avec la religion de tout bord et aussi financièrement pour certaines	127	4
596	1-2410	Y Rien	pas d'avis	127	1
597	1-24192	Pas d'imposition des valeurs	ne pas permettre d'avoir des menus spéciaux dans les cantines scolaires, des horaires pour les femmes dans les piscines et salles de sport, d'interdire la venue du père Noël das les écoles	127	1
598	1-24192	Préserver les coutumes françaises	ne pas permettre d'avoir des menus spéciaux dans les cantines scolaires, des horaires pour les femmes dans les piscines et salles de sport, d'interdire la venue du père Noël das les écoles	127	2
599	1-24192	Redonner un aspect privé à la religion	ne pas permettre d'avoir des menus spéciaux dans les cantines scolaires, des horaires pour les femmes dans les piscines et salles de sport, d'interdire la venue du père Noël das les écoles	127	1
600	1-24366	Aucun signe ostentatoire (croix, voile, kippa...)	Tout signe religieux interdit	127	3
601	1-24369	Y Rien	rien	127	3
602	1-24424	Garantir la liberté de culte	la laicité est le quatirème pillier de notre république. il fuat supprimer du qualendrier tous les jours féries chrétiens et ne permettre de les maintenir qu'au ceind des écoles religieuses chacun doit pouvoir exercer sa religion en toute liberté et s=discrétion. toutes les relgion ont droit de citer en france mais aucun extrémisme.	127	3
603	1-24424	Lutte contre extrémismes	la laicité est le quatirème pillier de notre république. il fuat supprimer du qualendrier tous les jours féries chrétiens et ne permettre de les maintenir qu'au ceind des écoles religieuses chacun doit pouvoir exercer sa religion en toute liberté et s=discrétion. toutes les relgion ont droit de citer en france mais aucun extrémisme.	127	6
604	1-24424	Redonner un aspect privé à la religion	la laicité est le quatirème pillier de notre république. il fuat supprimer du qualendrier tous les jours féries chrétiens et ne permettre de les maintenir qu'au ceind des écoles religieuses chacun doit pouvoir exercer sa religion en toute liberté et s=discrétion. toutes les relgion ont droit de citer en france mais aucun extrémisme.	127	2
605	1-24460	Lutte contre extrémismes	"S'inspirer du Canada qui n'accepte sur son territoire que les immigrants qui ont des compétences pour travailler, une connaissance de la langue et de quoi vivre pour un an en attendant un emploi ! 	Évaluer l'impact de l'immigration est honnêtement difficile en raison du manque de statistiques. Pourquoi ?  	L'illégalité peut-elle ouvrir des droits ? 	Notre pays en crise favorise le communautarisme, des rancœurs et même du vandalisme, chez ceux qui profitent du système. ( voir les zones de non droit qui perdurent et se développent).  	Éviter que  les personnes, qui diffusent des idées liées aux extrémismes religieux (wahhabisme, salafisme), deviennent leader de leur groupe. ( on accepte un frère musulman turc à la tete du conseil musulman français)"	127	4
606	1-24460	Stop prosélytisme	"S'inspirer du Canada qui n'accepte sur son territoire que les immigrants qui ont des compétences pour travailler, une connaissance de la langue et de quoi vivre pour un an en attendant un emploi ! 	Évaluer l'impact de l'immigration est honnêtement difficile en raison du manque de statistiques. Pourquoi ?  	L'illégalité peut-elle ouvrir des droits ? 	Notre pays en crise favorise le communautarisme, des rancœurs et même du vandalisme, chez ceux qui profitent du système. ( voir les zones de non droit qui perdurent et se développent).  	Éviter que  les personnes, qui diffusent des idées liées aux extrémismes religieux (wahhabisme, salafisme), deviennent leader de leur groupe. ( on accepte un frère musulman turc à la tete du conseil musulman français)"	127	1
607	1-24487	Y Rien	RAS	127	3
608	1-24525	Aucun financement par l'Etat	Les religions doivent plus que jamais rester du domaine de la sphère privée. Chaque citoyen est autorisé à pratiquer une religion déclarée et organisée qui se doit de définir des principes théologiques en cohérence avec la constitution de la République française et ses lois. Aucune religion ne peut prétendre à être au-dessus des lois de la République, sinon elle se définie hors la loi et doit être à ce titre condamnée. Le prosélytisme publique doit être interdit et réprimé. Les religions on un droit de culte qui doit être équitable. Soit l'état subventionne de manière équitable chaque religion déclarée et conforme aux principe de la constitution de la République soit il n'y a aucune subvention pour aucune d'entre elles. exprimé sa religion de manière ostentatoire par des signes ou des paroles en dehors de la sphère privée ou les lieux de culte doit être interdit. seuls peuvent être acceptée des évènements en fonction du calendrier religieux accordés par les préfectures en fonction des accords entre l'état et les dites religions.	127	2
